Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;4600503005;20-24;90
Ambos Sexos;4600503005;25-29;77
Ambos Sexos;4600503005;30-34;90
Ambos Sexos;4600503005;35-39;119
Ambos Sexos;4600503005;40-44;220
Ambos Sexos;4600503005;45-49;273
Ambos Sexos;4600503005;50-54;164
Ambos Sexos;4600503005;55-59;115
Ambos Sexos;4600503005;60-64;127
Ambos Sexos;4600503005;65-69;104
Ambos Sexos;4600503005;70-74;70
Ambos Sexos;4600503005;75-79;72
Ambos Sexos;4600503005;80-84;40
Ambos Sexos;4600503005;85-89;20
Ambos Sexos;4600503005;90-94;14
Ambos Sexos;4600503005;95-99;0
Ambos Sexos;4600503005;100 y más;0
Ambos Sexos;4600601001;Total;1.118
Ambos Sexos;4600601001;0-4;51
Ambos Sexos;4600601001;5-9;31
Ambos Sexos;4600601001;10-14;55
Ambos Sexos;4600601001;15-19;73
Ambos Sexos;4600601001;20-24;57
Ambos Sexos;4600601001;25-29;70
Ambos Sexos;4600601001;30-34;77
Ambos Sexos;4600601001;35-39;58
Ambos Sexos;4600601001;40-44;80
Ambos Sexos;4600601001;45-49;110
Ambos Sexos;4600601001;50-54;102
Ambos Sexos;4600601001;55-59;92
Ambos Sexos;4600601001;60-64;72
Ambos Sexos;4600601001;65-69;46
Ambos Sexos;4600601001;70-74;44
Ambos Sexos;4600601001;75-79;48
Ambos Sexos;4600601001;80-84;26
Ambos Sexos;4600601001;85-89;18
Ambos Sexos;4600601001;90-94;8
Ambos Sexos;4600601001;95-99;0
Ambos Sexos;4600601001;100 y más;0
Ambos Sexos;4600601002;Total;922
Ambos Sexos;4600601002;0-4;27
Ambos Sexos;4600601002;5-9;40
Ambos Sexos;4600601002;10-14;45
Ambos Sexos;4600601002;15-19;47
Ambos Sexos;4600601002;20-24;50
Ambos Sexos;4600601002;25-29;55
Ambos Sexos;4600601002;30-34;37
Ambos Sexos;4600601002;35-39;47
Ambos Sexos;4600601002;40-44;70
Ambos Sexos;4600601002;45-49;78
Ambos Sexos;4600601002;50-54;60
Ambos Sexos;4600601002;55-59;73
Ambos Sexos;4600601002;60-64;74
Ambos Sexos;4600601002;65-69;42
Ambos Sexos;4600601002;70-74;59
Ambos Sexos;4600601002;75-79;48
Ambos Sexos;4600601002;80-84;31
Ambos Sexos;4600601002;85-89;32
Ambos Sexos;4600601002;90-94;7
Ambos Sexos;4600601002;95-99;0
Ambos Sexos;4600601002;100 y más;0
Ambos Sexos;4600601003;Total;939
Ambos Sexos;4600601003;0-4;36
Ambos Sexos;4600601003;5-9;23
Ambos Sexos;4600601003;10-14;34
Ambos Sexos;4600601003;15-19;43
Ambos Sexos;4600601003;20-24;49
Ambos Sexos;4600601003;25-29;48
Ambos Sexos;4600601003;30-34;39
Ambos Sexos;4600601003;35-39;51
Ambos Sexos;4600601003;40-44;50
Ambos Sexos;4600601003;45-49;64
Ambos Sexos;4600601003;50-54;74
Ambos Sexos;4600601003;55-59;64
Ambos Sexos;4600601003;60-64;73
Ambos Sexos;4600601003;65-69;58
Ambos Sexos;4600601003;70-74;57
Ambos Sexos;4600601003;75-79;55
Ambos Sexos;4600601003;80-84;56
Ambos Sexos;4600601003;85-89;40
Ambos Sexos;4600601003;90-94;23
Ambos Sexos;4600601003;95-99;2
Ambos Sexos;4600601003;100 y más;0
Ambos Sexos;4600601004;Total;1.023
Ambos Sexos;4600601004;0-4;38
Ambos Sexos;4600601004;5-9;54
Ambos Sexos;4600601004;10-14;52
Ambos Sexos;4600601004;15-19;49
Ambos Sexos;4600601004;20-24;42
Ambos Sexos;4600601004;25-29;48
Ambos Sexos;4600601004;30-34;60
Ambos Sexos;4600601004;35-39;69
Ambos Sexos;4600601004;40-44;81
Ambos Sexos;4600601004;45-49;86
Ambos Sexos;4600601004;50-54;78
Ambos Sexos;4600601004;55-59;73
Ambos Sexos;4600601004;60-64;84
Ambos Sexos;4600601004;65-69;77
Ambos Sexos;4600601004;70-74;62
Ambos Sexos;4600601004;75-79;26
Ambos Sexos;4600601004;80-84;28
Ambos Sexos;4600601004;85-89;9
Ambos Sexos;4600601004;90-94;6
Ambos Sexos;4600601004;95-99;1
Ambos Sexos;4600601004;100 y más;0
Ambos Sexos;4600601005;Total;977
Ambos Sexos;4600601005;0-4;63
Ambos Sexos;4600601005;5-9;64
Ambos Sexos;4600601005;10-14;47
Ambos Sexos;4600601005;15-19;54
Ambos Sexos;4600601005;20-24;33
Ambos Sexos;4600601005;25-29;41
Ambos Sexos;4600601005;30-34;67
Ambos Sexos;4600601005;35-39;101
Ambos Sexos;4600601005;40-44;98
Ambos Sexos;4600601005;45-49;80
Ambos Sexos;4600601005;50-54;62
Ambos Sexos;4600601005;55-59;74
Ambos Sexos;4600601005;60-64;51
Ambos Sexos;4600601005;65-69;43
Ambos Sexos;4600601005;70-74;37
Ambos Sexos;4600601005;75-79;30
Ambos Sexos;4600601005;80-84;15
Ambos Sexos;4600601005;85-89;14
Ambos Sexos;4600601005;90-94;1
Ambos Sexos;4600601005;95-99;2
Ambos Sexos;4600601005;100 y más;0
Ambos Sexos;4600601007;Total;1.010
Ambos Sexos;4600601007;0-4;34
Ambos Sexos;4600601007;5-9;42
Ambos Sexos;4600601007;10-14;62
Ambos Sexos;4600601007;15-19;59
Ambos Sexos;4600601007;20-24;70
Ambos Sexos;4600601007;25-29;64
Ambos Sexos;4600601007;30-34;47
